0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
94,83,78,75,64,68,71,73,74,74,73,70,66,58,49,40,36,34,40,50,55,56,58,58,54,53,53,48,50,47,43,46,52,49,57,60,62,54,53,38,35,31,29,22,16,18,21,28,35,49,56,61,60,63,68,67,66,65,54,45,37,30,27,36,45,52,54,55,53,58,60,62,63,60,60,57,58,63,72,76,80,77,72,67,61,55,60,51,33,29,29,31,35,45,48,48,52,69,83,92
89,81,75,71,59,63,60,62,64,68,66,67,62,52,45,45,39,38,47,55,54,59,63,60,58,61,60,54,55,50,45,44,48,43,50,53,53,43,46,30,28,27,31,24,25,28,34,38,49,55,56,58,58,58,66,65,65,62,55,47,40,34,36,40,44,50,51,51,51,59,64,64,63,59,55,50,51,52,60,67,68,65,65,58,50,48,53,43,30,27,26,28,34,43,47,51,57,72,85,93
88,81,76,69,57,62,57,56,60,63,54,54,46,35,33,43,42,45,56,61,55,59,69,69,72,80,79,70,64,52,40,33,36,32,38,39,41,30,36,22,28,33,42,35,40,43,46,45,56,58,56,56,56,54,60,58,61,59,56,54,51,41,44,46,47,48,52,48,45,49,55,51,48,49,48,43,48,52,56,59,62,60,60,54,48,46,49,42,32,31,29,30,36,42,46,51,58,71,85,93
88,79,73,66,55,60,57,55,57,57,43,43,37,32,36,53,52,52,59,61,52,57,71,70,73,85,81,65,58,45,28,19,26,20,26,29,35,24,34,27,35,41,53,44,49,48,50,48,57,52,49,45,47,47,55,54,59,57,54,49,48,34,35,37,39,36,45,40,38,43,54,50,49,54,52,44,48,52,53,56,59,59,55,45,34,27,26,21,21,26,30,33,45,47,50,62,71,79,91,99
87,78,70,61,53,59,56,53,56,57,41,45,46,44,47,66,64,58,64,66,55,57,71,66,66,72,70,50,46,34,22,10,20,12,19,26,36,34,48,43,48,48,58,45,51,53,57,50,57,49,42,39,42,43,48,48,47,41,37,35,36,29,36,41,41,38,49,45,44,50,60,53,50,57,54,46,51,53,51,52,56,57,55,45,36,29,24,19,24,31,34,38,51,50,49,61,71,77,88,98
89,81,73,61,55,58,56,53,57,56,40,42,45,45,49,70,72,65,68,70,55,54,65,58,55,62,58,39,36,27,14,2,12,7,14,28,41,43,58,57,55,51,57,43,45,47,47,36,40,30,22,22,32,35,41,43,45,40,37,39,39,30,32,36,34,35,50,53,54,58,64,55,48,55,53,47,52,53,50,50,54,57,57,53,47,45,37,31,30,36,31,33,41,39,34,42,55,65,78,90
92,84,77,64,61,66,67,59,63,57,39,39,48,50,58,77,81,73,73,71,54,48,58,52,47,54,52,33,34,28,16,9,22,19,28,44,56,57,61,57,48,34,35,24,25,33,37,30,35,31,25,27,36,40,42,44,47,44,42,45,45,36,31,35,34,35,50,58,59,61,65,55,50,57,61,57,65,70,68,64,71,74,66,59,48,37,24,14,16,24,26,31,44,40,34,39,51,62,76,91
89,81,75,61,60,67,67,57,62,54,35,39,54,56,65,85,87,71,68,60,41,33,44,36,37,46,44,26,33,29,19,14,24,17,24,42,52,55,61,57,37,23,25,13,15,27,32,27,25,18,12,14,24,40,45,51,52,48,44,46,47,42,34,36,34,36,50,64,68,73,76,69,64,71,75,69,71,69,63,59,64,67,61,56,43,30,17,7,8,16,23,30,42,40,34,37,49,62,75,89
91,84,78,61,60,64,63,54,64,57,44,44,58,57,65,78,84,71,67,55,38,30,35,28,31,35,35,23,27,25,18,16,25,24,31,51,57,59,61,55,32,19,20,12,17,33,37,32,29,22,11,13,22,35,36,48,51,48,49,58,60,56,49,49,46,49,61,75,75,70,67,58,47,54,58,58,63,66,63,65,68,70,67,65,57,47,35,27,23,26,29,32,38,40,37,38,51,65,76,88
93,86,81,66,61,60,58,50,60,54,48,45,52,47,56,63,72,60,53,38,20,9,16,15,25,38,42,38,41,38,30,29,33,34,36,49,54,53,53,49,27,19,20,14,18,35,36,35,32,27,15,15,23,37,41,56,66,67,70,79,77,65,51,42,33,37,48,60,64,63,59,52,45,52,54,57,62,66,63,67,69,71,67,64,53,41,30,24,24,32,38,40,45,45,42,41,54,67,77,87
94,86,82,70,64,64,63,55,62,56,43,36,36,26,33,37,46,40,38,25,15,8,16,20,32,46,52,51,51,48,42,44,44,46,47,56,56,55,52,47,27,21,19,17,23,43,49,58,56,52,38,34,35,46,48,62,65,66,67,68,65,58,46,40,36,42,52,62,64,65,60,55,48,51,51,54,58,63,63,69,71,74,71,67,56,41,31,25,30,37,49,52,57,54,53,55,64,75,84,94
96,89,82,68,59,51,48,42,44,36,29,19,15,8,19,23,36,36,37,23,14,8,14,20,34,49,56,57,55,53,46,44,42,47,47,53,55,56,55,50,36,34,29,31,40,58,62,73,63,50,34,21,18,26,32,46,56,62,65,67,64,56,46,42,37,44,55,61,62,64,59,57,52,54,53,55,55,57,56,64,64,68,68,69,60,49,41,41,44,52,62,62,60,56,51,48,58,69,78,89
94,82,66,53,39,31,33,39,37,31,33,20,9,6,15,12,28,37,37,28,24,15,13,25,37,48,60,65,56,53,48,46,46,58,63,68,68,69,59,51,40,31,20,25,33,48,57,73,74,65,50,38,30,28,32,45,58,66,69,69,65,57,50,45,41,49,60,63,65,68,61,58,56,57,54,60,62,66,67,75,75,77,76,74,66,55,46,46,52,61,69,71,66,57,49,45,53,64,76,90
94,81,60,49,33,20,19,24,14,9,12,5,0,5,15,16,30,42,40,31,30,19,16,26,39,50,64,72,69,64,61,58,53,58,61,58,53,52,40,33,29,22,12,23,34,47,62,80,83,73,59,46,32,29,34,44,57,68,71,68,63,56,51,45,43,50,59,61,67,75,70,71,76,73,70,76,74,73,73,73,71,67,66,62,55,44,42,43,53,66,76,78,71,60,47,40,47,58,70,87
88,71,46,35,20,15,18,28,14,12,13,9,4,13,19,17,25,38,32,25,33,29,24,38,47,51,60,66,56,51,48,39,33,45,54,54,56,60,44,34,32,20,10,27,40,49,69,85,88,76,65,51,35,28,33,42,54,67,72,68,63,60,57,54,57,63,71,75,80,83,79,80,82,76,74,79,76,75,77,77,74,66,63,56,49,38,38,40,51,63,77,84,80,71,58,44,48,56,67,84
85,66,38,27,14,13,16,29,17,16,23,27,27,40,46,45,49,58,46,30,28,19,9,18,33,38,50,61,56,48,47,38,33,46,59,60,62,62,45,31,30,18,14,32,48,54,74,86,88,76,68,53,36,28,34,41,58,74,82,83,80,76,71,64,64,66,69,73,81,82,79,82,86,79,79,85,83,80,83,81,74,64,58,49,44,35,35,40,52,63,79,87,86,79,64,46,50,55,64,81
85,67,43,36,26,31,36,51,43,45,49,54,53,63,64,60,60,64,50,37,39,32,23,31,45,46,56,66,61,51,53,46,43,54,66,67,68,67,53,43,41,30,30,45,57,61,79,88,92,87,82,76,61,55,57,62,70,82,88,87,84,82,78,70,72,73,74,78,86,85,83,86,89,82,83,89,89,88,93,89,83,71,65,55,54,47,49,54,65,72,84,92,90,85,75,62,64,68,74,86
91,79,64,60,54,56,58,64,57,60,63,68,71,78,78,73,70,70,58,46,47,45,41,46,56,57,62,68,67,60,63,58,56,63,71,72,75,73,63,55,55,49,53,68,80,83,96,100,100,94,89,81,69,63,65,68,74,84,90,89,87,86,82,75,78,78,78,82,89,87,86,89,91,85,86,91,91,91,97,95,90,79,72,62,60,54,58,63,72,77,87,92,93,92,85,73,75,76,78,87
91,82,73,71,67,75,79,86,83,87,88,91,88,89,87,82,78,77,68,60,58,58,55,61,67,69,72,77,74,70,71,65,64,74,82,86,94,95,88,81,80,72,75,82,89,90,99,100,100,96,95,89,83,79,81,80,84,90,94,93,93,94,90,85,88,88,86,90,95,93,92,95,95,91,92,95,95,95,99,99,96,91,85,78,75,71,70,74,80,83,90,96,98,98,94,85,85,85,86,91
97,94,90,89,88,91,92,95,95,96,96,98,98,99,99,99,97,97,94,87,81,79,75,73,77,81,85,90,93,92,93,92,92,94,97,98,99,96,94,90,90,86,89,91,95,95,99,99,99,97,97,93,90,88,89,87,91,94,95,95,96,96,93,91,92,92,90,93,95,95,94,96,96,94,95,97,97,97,99,99,96,95,91,89,88,88,87,91,94,95,98,100,100,100,97,93,93,93,93,96
